"trial","ref_position","var_area","response","correct","rt"
1,"R",9.24234107835218,"R",FALSE,2.17600011825562
2,"L",9.32575786300004,"R",TRUE,2.47099995613098
3,"L",10.5287956825923,"R",TRUE,2.05099987983704
4,"L",10.1186822722666,"R",TRUE,1.39900016784668
5,"R",13.5572547314223,"L",TRUE,1.90799999237061
6,"L",14.834393074736,"R",TRUE,1.83500003814697
7,"L",10.2262183558196,"R",TRUE,1.51200008392334
8,"L",10.8905079667456,"R",TRUE,1.30699992179871
9,"L",14.8233527976554,"R",TRUE,1.40400004386902
10,"L",8.9861917020753,"R",FALSE,6.48600006103516
11,"L",12.1624210416339,"R",TRUE,1.30599999427795
12,"R",9.42466577538289,"R",FALSE,1.32200002670288
13,"R",13.7705584128853,"L",TRUE,1.73399996757507
14,"R",11.131635005353,"L",TRUE,1.93900012969971
15,"R",10.5126331022475,"L",TRUE,2.9980001449585
16,"R",10.0692048345227,"L",TRUE,64.9319999217987
17,"L",9.96412482764572,"R",TRUE,1.2739999294281
18,"L",10.5634213769808,"R",TRUE,1.29099988937378
19,"L",11.7107646993827,"R",TRUE,1.28500008583069
20,"L",12.2343155299313,"R",TRUE,1.09799981117249
