"trial","ref_position","var_area","response","correct","rt"
1,"L",9.60364898759872,"R",TRUE,1.79800009727478
2,"R",8.48058017459698,"L",FALSE,0.993000030517578
3,"R",8.28644505771808,"R",TRUE,0.791000127792358
4,"R",13.4303879362997,"L",TRUE,0.896999835968018
5,"L",9.6203618128784,"L",FALSE,0.592000007629395
6,"R",14.691945648985,"R",FALSE,0.791999816894531
7,"R",12.9356769570149,"R",FALSE,1.79200005531311
8,"R",11.8702840458136,"L",TRUE,0.793999910354614
9,"R",8.00032223714516,"L",FALSE,0.799000024795532
10,"L",13.5906875059009,"R",TRUE,0.690000057220459
11,"R",14.3696548584849,"L",TRUE,0.591000080108643
12,"R",14.8146150328685,"R",FALSE,0.694000005722046
13,"L",11.012827251805,"L",FALSE,2.79199981689453
14,"L",13.7672660083044,"L",FALSE,0.990000009536743
15,"L",13.6987723805942,"R",TRUE,0.993000030517578
16,"L",8.72721623559482,"L",TRUE,0.598000049591064
17,"L",11.3384286225773,"L",FALSE,0.595999956130981
18,"R",11.695005313959,"R",FALSE,0.595999956130981
19,"R",11.075326288119,"R",FALSE,0.498000144958496
20,"L",13.6121262293309,"L",FALSE,0.796000003814697
